,id,age,category,category_type,semantic_field,network,n,m,c,pl,ed,d
27,40,86.19,animals,taxonomic,animal_field,u-invite,12,18,0.19999999999999998,1.8194444444444444,0.2727272727272727,3.0
28,41,80.06,animals,taxonomic,animal_field,u-invite,22,30,0.19090909090909092,3.5165289256198347,0.12987012987012986,2.727272727272727
29,42,79.0,animals,taxonomic,animal_field,u-invite,16,21,0.08958333333333333,3.0546875,0.175,2.625
30,43,106.08,animals,taxonomic,animal_field,u-invite,36,46,0.031878306878306874,3.7901234567901234,0.07301587301587302,2.5555555555555554
31,44,64.16,animals,taxonomic,animal_field,u-invite,19,28,0.15263157894736845,2.7645429362880884,0.16374269005847952,2.9473684210526314
32,45,92.01,animals,taxonomic,animal_field,u-invite,30,42,0.056666666666666664,3.7111111111111112,0.09655172413793103,2.8
33,46,94.28,animals,taxonomic,animal_field,u-invite,18,19,0.12037037037037039,4.395061728395062,0.12418300653594772,2.111111111111111
34,47,68.15,animals,taxonomic,animal_field,u-invite,24,33,0.1418650793650794,3.2777777777777777,0.11956521739130435,2.75
35,48,65.28,animals,taxonomic,animal_field,u-invite,16,15,0.0,4.34375,0.125,2.0625
36,49,65.28,animals,taxonomic,animal_field,u-invite,17,18,0.10980392156862745,3.667820069204152,0.1323529411764706,2.1176470588235294
0,7,92.3,animals,taxonomic,animal_field,esn,29,27,0.1354679802955665,2.4776119402985075,0.0665024630541872,2.0898876404494384
1,8,75.18,animals,taxonomic,animal_field,esn,11,4,0.0,0.6956521739130435,0.07272727272727272,2.1818181818181817
2,9,89.02,animals,taxonomic,animal_field,esn,22,19,0.21255411255411258,2.560344827586207,0.08225108225108226,2.242424242424242
3,10,64.24,animals,taxonomic,animal_field,esn,18,21,0.2299382716049383,2.0701754385964914,0.13725490196078433,2.6296296296296298
4,11,76.15,animals,taxonomic,animal_field,esn,20,32,0.4683333333333334,2.076923076923077,0.16842105263157894,2.8666666666666667
5,12,74.28,animals,taxonomic,animal_field,esn,10,6,0.0,1.3333333333333333,0.13333333333333333,1.4666666666666666
6,13,60.12,animals,taxonomic,animal_field,esn,9,8,0.3333333333333333,1.5686274509803921,0.2222222222222222,2.7586206896551726
7,14,96.3,animals,taxonomic,animal_field,esn,23,25,0.30662525879917185,1.932367149758454,0.09881422924901186,2.3380281690140845
8,15,95.22,animals,taxonomic,animal_field,esn,24,34,0.3067460317460317,2.114864864864865,0.12318840579710146,2.6315789473684212
9,18,82.27,animals,taxonomic,animal_field,esn,15,17,0.5444444444444445,1.837837837837838,0.1619047619047619,2.392156862745098
10,19,84.25,animals,taxonomic,animal_field,esn,17,24,0.33529411764705885,2.1762114537444934,0.17647058823529413,2.943396226415094
11,20,68.1,animals,taxonomic,animal_field,esn,11,7,0.2606060606060606,1.1219512195121952,0.12727272727272726,1.8857142857142857
12,21,74.26,animals,taxonomic,animal_field,esn,14,10,0.23809523809523808,1.25,0.10989010989010989,2.380952380952381
13,22,84.1,animals,taxonomic,animal_field,esn,15,13,0.22,1.8476190476190477,0.12380952380952381,2.533333333333333
14,23,71.03,animals,taxonomic,animal_field,esn,9,6,0.2592592592592593,1.435897435897436,0.16666666666666666,2.074074074074074
15,24,102.17,animals,taxonomic,animal_field,esn,29,47,0.3195402298850575,2.6009538950715423,0.11576354679802955,2.7586206896551726
16,25,64.18,animals,taxonomic,animal_field,esn,10,6,0.23333333333333334,0.8571428571428571,0.13333333333333333,1.5294117647058822
17,26,80.01,animals,taxonomic,animal_field,esn,15,17,0.3977777777777778,1.4606741573033708,0.1619047619047619,2.1777777777777776
18,28,68.21,animals,taxonomic,animal_field,esn,13,20,0.49633699633699635,1.5609756097560976,0.2564102564102564,2.533333333333333
19,29,98.09,animals,taxonomic,animal_field,esn,22,30,0.3316017316017316,2.1068702290076335,0.12987012987012986,2.2162162162162162
20,30,81.17,animals,taxonomic,animal_field,esn,19,20,0.2754385964912281,1.8954248366013071,0.11695906432748537,2.3157894736842106
21,31,106.28,animals,taxonomic,animal_field,esn,14,8,0.0,2.4186046511627906,0.08791208791208792,2.260869565217391
22,32,77.05,animals,taxonomic,animal_field,esn,15,21,0.31206349206349204,2.010152284263959,0.2,2.9361702127659575
23,35,98.17,animals,taxonomic,animal_field,esn,20,25,0.32595238095238094,1.7613636363636365,0.13157894736842105,2.6129032258064515
24,36,66.19,animals,taxonomic,animal_field,esn,6,5,0.5555555555555555,0.7777777777777778,0.3333333333333333,2.7777777777777777
25,37,98.03,animals,taxonomic,animal_field,esn,19,17,0.15263157894736842,2.2483660130718954,0.09941520467836257,2.169491525423729
26,38,73.27,animals,taxonomic,animal_field,esn,11,6,0.21212121212121213,0.7407407407407407,0.10909090909090909,1.8181818181818181
27,40,86.19,animals,taxonomic,animal_field,esn,12,20,0.3972222222222222,1.4509803921568627,0.30303030303030304,3.111111111111111
28,41,80.06,animals,taxonomic,animal_field,esn,19,36,0.3962823725981621,1.5522388059701493,0.21052631578947367,3.0476190476190474
29,42,79.0,animals,taxonomic,animal_field,esn,16,16,0.40625,2.5555555555555554,0.13333333333333333,2.4166666666666665
30,43,106.08,animals,taxonomic,animal_field,esn,29,27,0.1810344827586207,1.9183673469387754,0.0665024630541872,2.3564356435643563
31,44,64.16,animals,taxonomic,animal_field,esn,19,23,0.2629072681704261,2.308457711442786,0.13450292397660818,2.7719298245614037
